date,snow_day,temperature0,snowfall0,windspeed0,visibility0,precip_type0,temperature1,snowfall1,windspeed1,visibility1,precip_type1,temperature2,snowfall2,windspeed2,visibility2,precip_type2,temperature3,snowfall3,windspeed3,visibility3,precip_type3,temperature4,snowfall4,windspeed4,visibility4,precip_type4,temperature5,snowfall5,windspeed5,visibility5,precip_type5,temperature6,snowfall6,windspeed6,visibility6,precip_type6,temperature7,snowfall7,windspeed7,visibility7,precip_type7
2025-12-15,0,-2.4,0,35.5,24000.0,0,-1.6,0,30.3,25300.0,0,-1.0,0,36.3,29200.0,0,-1.2,0,36.9,26200.0,0,-1.2,0,33.0,28900.0,0,-1.6,0,39.1,24400.0,0,-1.8,0.0,36.9,23800.0,0,-1.5,0.0,40.9,22900.0,0
2025-12-16,0,-3.5,0,27.6,19800.0,0,-3.2,0,23.9,18500.0,0,-3.0,0,21.2,14400.0,0,-2.9,0,20.1,19900.0,0,-2.8,0,16.4,20300.0,0,-2.5,0,19.4,20000.0,0,-2.5,0.0,24.9,18300.0,0,-2.8,0.21,33.3,4600.0,0
2025-12-17,0,2.9,0,60.9,15600.0,0,3.2,0,62.0,14800.0,0,3.9,0,57.5,15700.0,0,4.5,0,53.0,17400.0,0,4.5,0,48.7,19000.0,0,4.5,0,47.6,20900.0,0,4.3,0.0,44.9,22800.0,0,4.0,0.0,47.4,23500.0,0
2025-12-18,0,1.7,0,48.5,24140.0,0,2.0,0,52.9,24140.0,0,2.4,0,50.8,24140.0,0,2.7,0,53.5,24140.0,0,2.7,0,57.3,24140.0,0,2.8,0,59.8,24140.0,0,2.8,0.0,59.7,24140.0,0,2.8,0.0,61.0,24140.0,0
2025-12-19,0,2.3,0,59.4,24140.0,0,1.9,0,58.0,23420.0,0,-0.2,0,59.3,24140.0,0,-1.8,0,54.6,24140.0,0,-3.1,0,51.8,13300.0,0,-5.1,0,53.6,6960.0,0,-5.7,0.07,50.9,2740.0,0,-6.0,0.14,55.2,900.0,0
