date,snow_day,temperature0,snowfall0,windspeed0,visibility0,precip_type0,temperature1,snowfall1,windspeed1,visibility1,precip_type1,temperature2,snowfall2,windspeed2,visibility2,precip_type2,temperature3,snowfall3,windspeed3,visibility3,precip_type3,temperature4,snowfall4,windspeed4,visibility4,precip_type4,temperature5,snowfall5,windspeed5,visibility5,precip_type5,temperature6,snowfall6,windspeed6,visibility6,precip_type6,temperature7,snowfall7,windspeed7,visibility7,precip_type7
2025-12-08,0,-4.5,0.0,38.1,0,0,-4.7,0.0,34.1,0,0,-4.9,0.0,30.4,0,0,-5.0,0.0,27.0,0,0,-5.0,0.0,23.6,0,0,-4.4,0.0,21.5,0,0,-4.4,0.0,19.3,0,0,-4.7,0.0,15.9,0,0
2025-12-09,0,-2.7,0.0,31.0,0,0,-2.5,0.0,31.9,0,0,-2.3,0.0,36.5,0,0,-1.6,0.0,40.4,0,0,-1.3,0.0,41.6,0,0,-1.1,0.0,43.6,0,0,-1.2,0.0,44.8,0,0,-0.8,0.0,47.7,0,0
2025-12-10,0,-1.4,0.0,20.3,0,0,-1.2,0.0,15.0,0,0,-1.2,0.0,7.7,0,0,-1.2,0.0,3.1,0,0,-1.2,0.14,12.6,0,0,-1.0,0.35,20.1,0,0,-0.8,0.98,27.8,0,0,-0.6,1.12,32.4,0,0
2025-12-11,0,-5.1,0.21,37.6,0,0,-5.2,0.07,33.3,0,0,-5.6,0.21,32.1,0,0,-5.1,0.07,35.0,0,0,-5.2,0.21,40.7,0,0,-5.0,0.14,42.5,0,0,-5.2,0.14,45.6,0,0,-5.1,0.07,43.9,0,0
2025-12-12,0,-3.4,0.0,26.3,0,0,-3.4,0.0,24.5,0,0,-3.1,0.0,25.8,0,0,-2.9,0.0,27.1,0,0,-3.0,0.0,30.3,0,0,-3.2,0.0,31.3,0,0,-2.9,0.0,31.3,0,0,-2.5,0.0,31.8,0,0
